id,method,factors,nobs,ncat,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE7,bias_withC_T_SEi6,bias_withC_T_SEi7,bias_withC_C_SE1
1898,PML,2,400,2,-0.01816694711543193,0.11908786070995991,0.09980814897779314,0.42031671301084456,0.44969537648068686,-0.2612109768161647
1899,PML,2,400,2,0.12119353510427824,-0.10280611747398027,-0.7316869485483567,0.42488348957575445,0.4496704479277566,-0.18182206753983438
1900,PML,2,400,2,-0.5693457394598214,-0.002943217367730455,0.1195540402709333,0.42508029369486555,0.4451720503685863,0.08239305605791669
1901,PML,2,400,2,-0.8873812923005111,-0.4237734061773593,0.26111428601826303,0.4233982517429555,0.44833591915164617,0.37783363963921623
1902,PML,2,400,2,-0.38651272910970175,-0.3115556643304193,-0.20536683296429672,0.42781187555642475,0.4443188420978364,-0.347350147748024
1903,PML,2,400,2,-0.4489860658475515,-0.12742400307986929,-0.22410696696991694,0.4252033637200142,0.4470438389312062,-0.22850105648378333
1904,PML,2,400,2,-0.32807151647878185,-0.4174048936777697,-0.029445264160126577,0.4194623758204549,0.44483735446975564,0.03746913849305561
1905,PML,2,400,2,-0.8860516180971723,-0.8296503899675095,-0.34370763138452665,0.41149436356675423,0.4392505586008358,0.13369447288879566
1906,PML,2,400,2,-0.292978186096772,-0.004975013940239359,0.20547040001756348,0.4268309354215155,0.4328766640559367,-0.0653071923487139
1907,PML,2,400,2,-0.3835540609907616,0.08595681556591989,0.3354353369003832,0.423224283671135,0.4469424727770163,-0.18701591275972346
1908,PML,2,400,2,-0.8594280130664211,-0.5149351421530599,-0.17080573362091706,0.42523893168466553,0.44984992383196587,-0.3204762074227846
1909,PML,2,400,2,-0.00677729233302185,0.24240174476940074,0.272966383027963,0.4276821885554352,0.45050105261229684,-0.08350321604396332
1910,PML,2,400,2,-1.0296114179442122,-0.46426110688317923,0.5516209445341029,0.42146223701231555,0.41997183343749633,0.1951993695132756
1911,PML,2,400,2,-0.13591344691677165,0.06017687595960969,0.31207466357591335,0.4262366989247854,0.44177683592876577,0.07520770321849668
1912,PML,2,400,2,-0.7750581679598523,0.12332630630583069,0.3003504348224731,0.4273497008903143,0.4483475591679359,0.15518658809297592
1913,PML,2,400,2,-0.03530463920471197,-0.34068424822774057,-0.08299156083812695,0.4215809871016746,0.4490339931225065,-0.24096748873785462
1914,PML,2,400,2,-0.220176096415102,0.06412104967216947,1.0149597425966932,0.4282865011876247,0.4437633314463965,0.3514016026154254
1915,PML,2,400,2,-0.4369709103266818,0.1445962239654,-0.4840851930429567,0.42769830337527487,0.44869138583337603,-0.021962973324564372
1916,PML,2,400,2,-0.38467896408295177,-0.6515600640618402,0.07368845862256307,0.4264577838929848,0.4435509697341161,0.2537005948168067
