id,method,factors,nobs,ncat,bias_withoutC_L6,bias_withoutC_L7,bias_withoutC_Ti6,bias_withoutC_Ti7,bias_withoutC_C1
1777,PML,2,400,2,14.144635260604332,6.273533746415996,-5.01068737892905,-6.267930205181759,36.348740801034005
1778,PML,2,400,2,35.31708596646151,2.735138354496,7.52384845730856,-1.8803393944641902,20.643166600333995
1779,PML,2,400,2,13.421363663190505,-7.437511015347384,-3.76080856684726,-3.12907079358309,9.283993233219675
1780,PML,2,400,2,30.57752336841918,8.100898857574492,-7.52357215811678,-10.0390816236875,44.03800204196367
1781,PML,2,400,2,25.379666337777994,-4.534081472852628,7.52526706459616,-5.01881153771813,17.400051635826348
1782,PML,2,400,2,9.389416310773168,7.0688026752739885,2.49895960001601,6.2713344366450805,33.13894129287034
1783,PML,2,400,2,18.752012412743177,-0.4034543900673787,-3.76002444490975,-6.27226113434258,-15.322527689430654
1784,PML,2,400,2,12.783073098737995,0.9148552387002462,3.76121401399177,12.573276091155,34.80589236147334
1785,PML,2,400,2,13.953023172240176,-5.965178773709876,14.4660590744664,-4.39189627234581,3.410392749409334
1786,PML,2,400,2,15.972535645540836,-0.6728274269241358,4.38093807912262,4.38333675420599,17.771238477792327
1787,PML,2,400,2,13.815001741307341,-1.7281073383132588,6.27016143739854,-6.90009194020968,27.819357107522002
1788,PML,2,400,2,23.010615267816668,-6.802765925081874,-10.6723833787452,-5.6445095471549305,33.963337074541336
1789,PML,2,400,2,27.67364117284401,-5.669825858709135,-7.52368083173821,-3.7613056873056596,38.808938331232
1790,PML,2,400,2,9.187872540924163,1.3469962406664897,-4.38751066238978,-6.27295212263443,-6.398365358319003
1791,PML,2,400,2,19.090707224111178,-4.515271200140003,-0.633627990264993,7.52339327416776,28.17633254159833
1792,PML,2,400,2,38.92631075495034,-4.45326775854625,-2.50595682676979,3.75797813362649,52.20906810190168
1793,PML,2,400,2,30.227337353187334,-0.9578253995266295,6.91890180199079,-3.76413904624699,56.50921512739934
1794,PML,2,400,2,12.248618298514833,-9.29064951745101,1.87779410092387,8.15660055380379,-19.424994814593664
1795,PML,2,400,2,9.712238113096998,3.9327951077588743,-2.5055968747011397,3.76322813000498,-6.0485978698976615
1796,PML,2,400,2,13.640777024562178,4.084079393912241,-10.6829869644231,-3.7595318694727595,17.316097349600344
1797,PML,2,400,2,21.92295907387983,-5.15398175511976,4.38682342073951,2.49932964725925,29.370925565690342
1798,PML,2,400,2,13.790739265817514,10.499297780106124,-6.27195738827127,-5.01050793812114,27.204707681374007
1799,PML,2,400,2,14.36726490122468,-5.391506271969007,2.50835691232081,-4.382690185298141,31.064630845291006
1800,PML,2,400,2,-4.593473567158835,-9.41757360594113,-0.624933872429543,-8.156058061173239,22.68627845685267
1801,PML,2,400,2,11.0225056962955,1.81114595852587,-4.39412086402778,-6.26942540888566,37.46687279010767
1802,PML,2,400,2,18.019287829284007,-1.282862935055626,-4.389817605453731,0.6312862324092361,27.216343788406007
1803,PML,2,400,2,21.802889267750334,-5.464598742454002,8.79115229534138,13.824624904451099,-7.359785810877003
1804,PML,2,400,2,26.63262918659367,5.234096398874496,-7.5299515489236395,3.1346147037351098,15.759223191265677
